,0
"{X5=4,X14=3} => {target=A}",0.1579637703888115
"{X5=5,X6=1} => {target=A}",0.033546489889312706
"{X10=3,X14=3} => {target=A}",0.03480398671555581
"{X7=2,X11=2} => {target=A}",0.03396572344515211
"{X14=3,X15=1} => {target=A}",0.03480398671555581
"{X2=5,X7=4} => {target=A}",0.033494080917302896
"{X6=2,X7=4} => {target=A}",0.03270781893635876
"{X6=1,X9=2} => {target=A}",0.03302235239391573
"{X3=4,X13=2} => {target=A}",0.03181643324948232
"{X1=5,X13=4} => {target=A}",0.033860921426232114
"{X12=1,X15=5} => {target=A}",0.034227709913169244
"{X3=5,X8=1} => {target=A}",0.1581132385963065
"{X7=2,X11=3} => {target=A}",0.03296993280517284
"{X5=3,X12=2} => {target=A}",0.035694343640996856
"{X1=4,X11=4} => {target=A}",0.03443727997746338
"{X10=1,X13=2} => {target=A}",0.032865090442667125
"{X2=2,X8=5} => {target=A}",0.1580634169221481
{X14=1} => {target=A},0.03585143360116957
"{X6=4,X9=1} => {target=A}",0.1599061117915844
{X1=1} => {target=A},0.03249810873118796
"{X3=5,X5=5} => {target=A}",0.034332497068662926
"{X7=4,X14=3} => {target=A}",0.03459444637811428
"{X7=3,X10=4} => {target=A}",0.034122918510982314
{X11=5} => {target=A},0.034122918510982314
"{X9=4,X14=3} => {target=A}",0.03260296595711998
"{X3=4,X13=5} => {target=A}",0.035484875497340265
"{X8=1,X15=2} => {target=A}",0.034070521217378885
"{X2=1,X15=4} => {target=A}",0.034227709913169244
"{X4=2,X5=5} => {target=A}",0.03574670802272774
"{X2=2,X7=3} => {target=A}",0.03302235239391573
"{X2=3,X6=1} => {target=A}",0.034908750514236725
"{X5=3,X11=3} => {target=A}",0.031659098042775474
"{X1=5,X14=5} => {target=A}",0.034908750514236725
"{X9=1,X12=2} => {target=A}",0.034332497068662926
"{X1=3,X4=1} => {target=A}",0.1555709795807624
"{X9=4,X13=5} => {target=A}",0.1566181265436667
"{X1=5,X12=2} => {target=A}",0.03480398671555581
"{X3=1,X4=1} => {target=A}",0.03391332296652877
"{X4=5,X11=2} => {target=A}",0.03391332296652877
"{X1=4,X2=4} => {target=A}",0.03443727997746338
"{X2=1,X11=1} => {target=A}",0.034542058639570626
"{X7=4,X13=1} => {target=A}",0.034908750514236725
"{X5=2,X9=2} => {target=A}",0.034751603223705387
"{X3=5,X5=3} => {target=A}",0.03192131807892035
"{X3=5,X11=5} => {target=A}",0.036793772705950634
"{X2=4,X14=4} => {target=A}",0.0336513046483124
"{X9=1,X12=4} => {target=A}",0.035537244125764374
"{X7=1,X8=5} => {target=A}",0.035432505807242845
"{X2=1,X15=5} => {target=A}",0.0336513046483124
"{X10=5,X15=3} => {target=A}",0.15786411960878163
"{X2=4,X7=2} => {target=A}",0.03249810873118796
"{X2=4,X13=1} => {target=A}",0.033494080917302896
"{X6=1,X7=2} => {target=A}",0.03496113082106723
"{X6=1,X13=4} => {target=A}",0.03443727997746338
"{X3=1,X5=2} => {target=A}",0.034332497068662926
"{X6=1,X8=4} => {target=A}",0.033494080917302896
"{X9=3,X10=3} => {target=A}",0.1592588440801158
"{X10=5,X13=3} => {target=A}",0.03459444637811428
