,rules,interest
93,"{X2=1,X3=4,X9=2} => {target=A}",0.03333684763123361
94,"{X3=2,X9=5,X10=3} => {target=A}",0.03428010402175274
95,"{X2=3,X4=1,X15=2} => {target=A}",0.034437279977463396
96,{X10=1} => {target=A},0.6789701448924645
97,"{X3=3,X10=5,X14=1} => {target=A}",0.03417531474291243
98,"{X4=4,X6=5,X13=4} => {target=A}",0.0350658882497083
99,"{X10=5,X11=3,X13=5} => {target=A}",0.03276024383346819
100,"{X10=4,X11=5} => {target=A}",0.15876082374809417
101,"{X8=5,X9=3,X12=3} => {target=A}",0.035118265371518874
102,"{X1=1,X4=4,X15=4} => {target=A}",0.03438488905389982
103,"{X6=3,X7=1,X12=2} => {target=A}",0.036427348372958135
104,"{X5=1,X8=4,X15=5} => {target=A}",0.03302235239391573
105,"{X5=4,X8=1,X10=2} => {target=A}",0.03517064143165614
106,"{X4=4,X7=3,X14=2} => {target=A}",0.034070521217378885
107,"{X1=4,X6=3,X7=1} => {target=A}",0.03517064143165614
108,"{X1=4,X3=2,X6=3} => {target=A}",0.033756115160618876
109,"{X4=4,X5=3,X15=3} => {target=A}",0.03417531474291243
110,"{X2=1,X14=2,X15=4} => {target=A}",0.03276024383346819
111,"{X11=3,X12=3,X15=3} => {target=A}",0.03428010402175274
112,"{X6=4,X10=4,X12=2} => {target=A}",0.03532776324202808
113,"{X6=4,X13=4,X15=5} => {target=A}",0.032131074997716697
114,"{X2=1,X7=1,X11=5} => {target=A}",0.03307477092098531
115,"{X1=1,X5=1,X15=2} => {target=A}",0.03333684763123361
116,"{X9=3,X12=2,X13=4} => {target=A}",0.034751603223705387
117,"{X4=1,X8=3,X11=5} => {target=A}",0.03532776324202808
118,"{X8=3,X12=1} => {target=A}",0.16025456624216675
119,"{X5=4,X14=5} => {target=A}",0.1561694066042092
120,"{X1=4,X6=1,X10=3} => {target=A}",0.03527539036691074
121,"{X1=1,X6=3,X12=1} => {target=A}",0.03307477092098531
122,"{X1=3,X5=3,X13=2} => {target=A}",0.033546489889312706
123,"{X5=1,X11=1,X13=5} => {target=A}",0.034122918510982314
124,"{X1=1,X2=2,X10=1} => {target=A}",0.03328443441253057
125,"{X1=1,X11=1,X15=5} => {target=A}",0.03160665085052658
126,"{X4=3,X6=3,X14=3} => {target=A}",0.03433249706866293
127,"{X2=3,X10=2} => {target=A}",0.1582128787596033
128,"{X5=5,X7=1,X8=4} => {target=A}",0.03600851400628251
129,"{X5=4,X8=1,X14=1} => {target=A}",0.03438488905389982
130,"{X1=3,X2=1,X10=1} => {target=A}",0.03433249706866293
131,"{X1=3,X3=4,X10=4} => {target=A}",0.035118265371518874
132,"{X3=1,X4=5,X6=1} => {target=A}",0.0350658882497083
133,"{X5=3,X14=5,X15=5} => {target=A}",0.03270781893635876
134,"{X3=3,X8=4,X13=2} => {target=A}",0.034122918510982314
135,"{X4=1,X6=3,X14=3} => {target=A}",0.03428010402175274
136,"{X7=2,X14=2} => {target=A}",0.160752268072196
137,"{X2=2,X4=3,X8=4} => {target=A}",0.03459444637811428
138,"{X9=3,X10=1,X13=2} => {target=A}",0.03417531474291243
139,"{X4=5,X10=1,X12=2} => {target=A}",0.03501351006622441
140,"{X2=4,X11=1} => {target=A}",0.15756514178853256
